"filename", "language", "Python", "JSON", "Markdown", "comment", "blank", "total"
"d:\repo\Idle RPG\Data\fish.json", "JSON", 0, 28, 0, 0, 0, 28
"d:\repo\Idle RPG\Data\fishing_spots.json", "JSON", 0, 22, 0, 0, 0, 22
"d:\repo\Idle RPG\Data\items.json", "JSON", 0, 36, 0, 0, 1, 37
"d:\repo\Idle RPG\Engine\activity_registry.py", "Python", 0, 0, 0, 0, 1, 1
"d:\repo\Idle RPG\Engine\game.py", "Python", 23, 0, 0, 6, 17, 46
"d:\repo\Idle RPG\Engine\mastery_manager.py", "Python", 39, 0, 0, 0, 22, 61
"d:\repo\Idle RPG\Engine\unlock_manager.py", "Python", 4, 0, 0, 0, -7, -3
"d:\repo\Idle RPG\Models\player_skill.py", "Python", 4, 0, 0, 0, -1, 3
"d:\repo\Idle RPG\README.md", "Markdown", 0, 0, 8, 0, 1, 9
"d:\repo\Idle RPG\UI\main_window.py", "Python", 52, 0, 0, -53, 31, 30
"d:\repo\Idle RPG\UI\notification.py", "Python", 55, 0, 0, 62, 18, 135
"d:\repo\Idle RPG\UI\notification_manager.py", "Python", 55, 0, 0, 0, 27, 82
"d:\repo\Idle RPG\save\player.json", "JSON", 0, 9, 0, 0, 0, 9
"Total", "-", 232, 95, 8, 15, 110, 460
