"filename", "language", "Python", "JSON with Comments", "pip requirements", "JSON", "Markdown", "comment", "blank", "total"
"d:\repo\Idle RPG\Data\equipment.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 13
"d:\repo\Idle RPG\Data\fish.json", "JSON", 0, 0, 0, 72, 0, 0, 0, 72
"d:\repo\Idle RPG\Data\fishing_spots.json", "JSON", 0, 0, 0, 60, 0, 0, 0, 60
"d:\repo\Idle RPG\Data\items.json", "JSON", 0, 0, 0, 173, 0, 0, 1, 174
"d:\repo\Idle RPG\Data\monsters.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 26
"d:\repo\Idle RPG\Data\recipes.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 54
"d:\repo\Idle RPG\Data\rocks.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 20
"d:\repo\Idle RPG\Data\skills.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 37
"d:\repo\Idle RPG\Data\trees.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 20
"d:\repo\Idle RPG\Engine\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Idle RPG\Engine\action_factory.py", "Python", 53, 0, 0, 0, 0, 0, 20, 73
"d:\repo\Idle RPG\Engine\action_manager.py", "Python", 60, 0, 0, 0, 0, 4, 51, 115
"d:\repo\Idle RPG\Engine\action_registry.py", "Python", 20, 0, 0, 0, 0, 0, 12, 32
"d:\repo\Idle RPG\Engine\action_state.py", "Python", 38, 0, 0, 0, 0, 3, 25, 66
"d:\repo\Idle RPG\Engine\activity_registry.py", "Python", 17, 0, 0, 0, 0, 0, 9, 26
"d:\repo\Idle RPG\Engine\game.py", "Python", 323, 0, 0, 0, 0, 43, 169, 535
"d:\repo\Idle RPG\Engine\game_data.py", "Python", 13, 0, 0, 0, 0, 6, 12, 31
"d:\repo\Idle RPG\Engine\mastery_manager.py", "Python", 39, 0, 0, 0, 0, 0, 22, 61
"d:\repo\Idle RPG\Engine\offline_progress.py", "Python", 29, 0, 0, 0, 0, 26, 18, 73
"d:\repo\Idle RPG\Engine\registry.py", "Python", 29, 0, 0, 0, 0, 18, 18, 65
"d:\repo\Idle RPG\Engine\resource_loader.py", "Python", 87, 0, 0, 0, 0, 9, 65, 161
"d:\repo\Idle RPG\Engine\save_data.py", "Python", 12, 0, 0, 0, 0, 3, 11, 26
"d:\repo\Idle RPG\Engine\save_manager.py", "Python", 40, 0, 0, 0, 0, 15, 23, 78
"d:\repo\Idle RPG\Engine\serializer.py", "Python", 78, 0, 0, 0, 0, 6, 48, 132
"d:\repo\Idle RPG\Engine\unlock_manager.py", "Python", 57, 0, 0, 0, 0, 0, 17, 74
"d:\repo\Idle RPG\Engine\xp.py", "Python", 19, 0, 0, 0, 0, 5, 17, 41
"d:\repo\Idle RPG\Engine\xp_table.py", "Python", 22, 0, 0, 0, 0, 0, 17, 39
"d:\repo\Idle RPG\Models\__init__.py", "Python", 12, 0, 0, 0, 0, 0, 0, 12
"d:\repo\Idle RPG\Models\drop.py", "Python", 7, 0, 0, 0, 0, 13, 6, 26
"d:\repo\Idle RPG\Models\equipment.py", "Python", 12, 0, 0, 0, 0, 5, 11, 28
"d:\repo\Idle RPG\Models\fish.py", "Python", 9, 0, 0, 0, 0, 0, 4, 13
"d:\repo\Idle RPG\Models\fishing_spot.py", "Python", 9, 0, 0, 0, 0, 0, 1, 10
"d:\repo\Idle RPG\Models\fishing_spot_entry.py", "Python", 5, 0, 0, 0, 0, 0, 1, 6
"d:\repo\Idle RPG\Models\item.py", "Python", 13, 0, 0, 0, 0, 8, 11, 32
"d:\repo\Idle RPG\Models\monster.py", "Python", 15, 0, 0, 0, 0, 8, 13, 36
"d:\repo\Idle RPG\Models\player_skill.py", "Python", 36, 0, 0, 0, 0, 0, 20, 56
"d:\repo\Idle RPG\Models\recipe.py", "Python", 15, 0, 0, 0, 0, 8, 12, 35
"d:\repo\Idle RPG\Models\rocks.py", "Python", 10, 0, 0, 0, 0, 3, 9, 22
"d:\repo\Idle RPG\Models\skill.py", "Python", 8, 0, 0, 0, 0, 8, 7, 23
"d:\repo\Idle RPG\Models\tree.py", "Python", 10, 0, 0, 0, 0, 0, 9, 19
"d:\repo\Idle RPG\Player\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2
"d:\repo\Idle RPG\Player\inventory.py", "Python", 63, 0, 0, 0, 0, 21, 49, 133
"d:\repo\Idle RPG\Player\player.py", "Python", 19, 0, 0, 0, 0, 6, 9, 34
"d:\repo\Idle RPG\README.md", "Markdown", 0, 0, 0, 0, 8, 0, 1, 9
"d:\repo\Idle RPG\Systems\__init__.py", "Python", 5, 0, 0, 0, 0, 0, 0, 5
"d:\repo\Idle RPG\Systems\action.py", "Python", 29, 0, 0, 0, 0, 15, 19, 63
"d:\repo\Idle RPG\Systems\cooking.py", "Python", 81, 0, 0, 0, 0, 4, 40, 125
"d:\repo\Idle RPG\Systems\fishing.py", "Python", 56, 0, 0, 0, 0, 0, 26, 82
"d:\repo\Idle RPG\Systems\mining.py", "Python", 24, 0, 0, 0, 0, 3, 9, 36
"d:\repo\Idle RPG\Systems\smithing.py", "Python", 81, 0, 0, 0, 0, 4, 40, 125
"d:\repo\Idle RPG\Systems\woodcutting.py", "Python", 33, 0, 0, 0, 0, 3, 17, 53
"d:\repo\Idle RPG\UI\Idle RPG.code-workspace", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 8
"d:\repo\Idle RPG\UI\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Idle RPG\UI\action_panel.py", "Python", 73, 0, 0, 0, 0, 5, 42, 120
"d:\repo\Idle RPG\UI\activity_panel.py", "Python", 219, 0, 0, 0, 0, 13, 138, 370
"d:\repo\Idle RPG\UI\inventory_panel.py", "Python", 26, 0, 0, 0, 0, 0, 26, 52
"d:\repo\Idle RPG\UI\main_window.py", "Python", 214, 0, 0, 0, 0, 21, 128, 363
"d:\repo\Idle RPG\UI\notification.py", "Python", 55, 0, 0, 0, 0, 62, 18, 135
"d:\repo\Idle RPG\UI\notification_manager.py", "Python", 55, 0, 0, 0, 0, 0, 27, 82
"d:\repo\Idle RPG\UI\page_stack.py", "Python", 24, 0, 0, 0, 0, 0, 17, 41
"d:\repo\Idle RPG\UI\player_panel.py", "Python", 24, 0, 0, 0, 0, 5, 22, 51
"d:\repo\Idle RPG\UI\sidebar.py", "Python", 50, 0, 0, 0, 0, 0, 24, 74
"d:\repo\Idle RPG\UI\skill_panel.py", "Python", 73, 0, 0, 0, 0, 24, 44, 141
"d:\repo\Idle RPG\UI\skill_selector.py", "Python", 33, 0, 0, 0, 0, 3, 23, 59
"d:\repo\Idle RPG\UI\skill_widget.py", "Python", 163, 0, 0, 0, 0, 34, 112, 309
